Targets,Scenarios,Year,Cumulative(tC/ha),Cumulative total institutional costs (US$/ha),Institutional_ROI,Cumulative total individual costs to farmers/ha,Individual_farmer_ROI,Cumulative total investment costs/ha,Total_ROI
Target 1,Scenario 2,Year 1,0.22,"$41,037 ",0.000005,"$1,415 ",0.000158151,"$42,452",0.00001
Target 1,Scenario 2,Year 2,0.67,"$51,117 ",0.000013,"$2,468 ",0.000158151,"$53,585",0.00001
Target 1,Scenario 2,Year 3,1.34,"$61,197 ",0.000022,"$3,522 ",0.000271979,"$64,719",0.00002
Target 1,Scenario 2,Year 4,2.24,"$71,276 ",0.000031,"$4,575 ",0.000381256,"$75,852",0.00003
Target 1,Scenario 2,Year 5,3.36,"$81,356 ",0.000041,"$5,629 ",0.000489126,"$86,985",0.00004
Target 1,Scenario 2,Year 6,4.7,"$91,436 ",0.000051,"$6,682 ",0.000596379,"$98,118",0.00005
Target 1,Scenario 2,Year 7,6.27,"$101,516 ",0.000062,"$7,735 ",0.000703306,"$109,251",0.00006
Target 1,Scenario 2,Year 8,8.06,"$111,595 ",0.000072,"$8,789 ",0.000810041,"$120,384",0.00007
Target 1,Scenario 2,Year 9,10.07,"$121,675 ",0.000083,"$9,842 ",0.000916653,"$131,517",0.00008
Target 1,Scenario 2,Year 10,11.25,"$131,755 ",0.000085,"$10,896 ",0.001023181,"$142,651",0.00008
Target 1,Scenario 2,Year 11,12.54,"$141,835 ",0.000088,"$11,949 ",0.001032399,"$153,784",0.00008
Target 1,Scenario 2,Year 12,13.96,"$151,914 ",0.000092,"$13,003 ",0.001049853,"$164,917",0.00008
Target 1,Scenario 2,Year 13,15.49,"$161,994 ",0.000096,"$14,056 ",0.00107354,"$176,050",0.00009
Target 1,Scenario 2,Year 14,17.14,"$172,074 ",0.0001,"$15,109 ",0.001102059,"$187,183",0.00009
Target 1,Scenario 2,Year 15,18.91,"$182,154 ",0.000104,"$16,163 ",0.001134401,"$198,316",0.00010
Target 1,Scenario 2,Year 16,20.79,"$192,233 ",0.000108,"$17,216 ",0.001169816,"$209,449",0.00010
Target 1,Scenario 2,Year 17,22.8,"$202,313 ",0.000113,"$18,270 ",0.001207741,"$220,583",0.00010
Target 1,Scenario 2,Year 18,24.92,"$212,393 ",0.000117,"$19,323 ",0.001247743,"$231,716",0.00011
Target 1,Scenario 2,Year 19,27.16,"$222,472 ",0.000122,"$20,376 ",0.00128948,"$242,849",0.00011
Target 1,Scenario 2,Year 20,28.98,"$232,552 ",0.000125,"$21,430 ",0.001332685,"$253,982",0.00011
Target 1,Scenario 2,Year 21,30.9,"$242,632 ",0.000127,"$22,483 ",0.001352418,"$265,115",0.00012
Target 1,Scenario 2,Year 22,32.91,"$252,712 ",0.00013,"$23,537 ",0.001374363,"$276,248",0.00012
Target 1,Scenario 2,Year 23,35.01,"$262,791 ",0.000133,"$24,590 ",0.001398225,"$287,381",0.00012
Target 1,Scenario 2,Year 24,37.2,"$272,871 ",0.000136,"$25,643 ",0.001423757,"$298,514",0.00012
Target 1,Scenario 2,Year 25,39.49,"$282,951 ",0.00014,"$26,697 ",0.001450753,"$309,648",0.00013
Target 1,Scenario 2,Year 26,41.86,"$293,031 ",0.000143,"$27,750 ",0.00147904,"$320,781",0.00013
Target 1,Scenario 2,Year 27,44.33,"$303,110 ",0.000146,"$28,804 ",0.001508471,"$331,914",0.00013
Target 1,Scenario 2,Year 28,46.88,"$313,190 ",0.00015,"$29,857 ",0.00153892,"$343,047",0.00014
Target 1,Scenario 2,Year 29,49.53,"$323,270 ",0.000153,"$30,910 ",0.001570279,"$354,180",0.00014
Target 1,Scenario 2,Year 30,51.68,"$333,349 ",0.000155,"$31,964 ",0.001602456,"$365,313",0.00014
Target 1,Scenario 3,Year 1,0.19,"$41,037 ",0.000005,"$1,362 ",0.000136606,"$42,399",0.00000
Target 1,Scenario 3,Year 2,0.56,"$51,117 ",0.000011,"$2,415 ",0.000230614,"$53,532",0.00001
Target 1,Scenario 3,Year 3,1.11,"$61,197 ",0.000018,"$3,468 ",0.000320725,"$64,665",0.00002
Target 1,Scenario 3,Year 4,1.85,"$71,276 ",0.000026,"$4,522 ",0.000409608,"$75,798",0.00002
Target 1,Scenario 3,Year 5,2.78,"$81,356 ",0.000034,"$5,575 ",0.000497926,"$86,931",0.00003
Target 1,Scenario 3,Year 6,3.88,"$91,436 ",0.000042,"$6,629 ",0.000585927,"$98,064",0.00004
Target 1,Scenario 3,Year 7,5.18,"$101,516 ",0.000051,"$7,682 ",0.000673725,"$109,198",0.00005
Target 1,Scenario 3,Year 8,6.65,"$111,595 ",0.00006,"$8,735 ",0.000761381,"$120,331",0.00006
Target 1,Scenario 3,Year 9,8.31,"$121,675 ",0.000068,"$9,789 ",0.000848933,"$131,464",0.00006
Target 1,Scenario 3,Year 10,9.27,"$131,755 ",0.00007,"$10,842 ",0.000855337,"$142,597",0.00007
Target 1,Scenario 3,Year 11,10.33,"$141,835 ",0.000073,"$11,896 ",0.000868675,"$153,730",0.00007
Target 1,Scenario 3,Year 12,11.49,"$151,914 ",0.000076,"$12,949 ",0.000887253,"$164,863",0.00007
Target 1,Scenario 3,Year 13,12.74,"$161,994 ",0.000079,"$14,002 ",0.000909887,"$175,996",0.00007
Target 1,Scenario 3,Year 14,14.09,"$172,074 ",0.000082,"$15,056 ",0.000935723,"$187,130",0.00008
Target 1,Scenario 3,Year 15,15.53,"$182,154 ",0.000085,"$16,109 ",0.000964132,"$198,263",0.00008
Target 1,Scenario 3,Year 16,17.07,"$192,233 ",0.000089,"$17,163 ",0.000994638,"$209,396",0.00008
Target 1,Scenario 3,Year 17,18.71,"$202,313 ",0.000092,"$18,216 ",0.001026876,"$220,529",0.00008
Target 1,Scenario 3,Year 18,20.44,"$212,393 ",0.000096,"$19,269 ",0.001060562,"$231,662",0.00009
Target 1,Scenario 3,Year 19,22.26,"$222,472 ",0.0001,"$20,323 ",0.001095469,"$242,795",0.00009
Target 1,Scenario 3,Year 20,23.75,"$232,552 ",0.000102,"$21,376 ",0.001110915,"$253,928",0.00009
Target 1,Scenario 3,Year 21,25.31,"$242,632 ",0.000104,"$22,430 ",0.001128207,"$265,062",0.00010
Target 1,Scenario 3,Year 22,26.94,"$252,712 ",0.000107,"$23,483 ",0.001147095,"$276,195",0.00010
Target 1,Scenario 3,Year 23,28.64,"$262,791 ",0.000109,"$24,536 ",0.001167373,"$287,328",0.00010
Target 1,Scenario 3,Year 24,30.42,"$272,871 ",0.000111,"$25,590 ",0.00118887,"$298,461",0.00010
Target 1,Scenario 3,Year 25,32.28,"$282,951 ",0.000114,"$26,643 ",0.00121144,"$309,594",0.00010
Target 1,Scenario 3,Year 26,34.2,"$293,031 ",0.000117,"$27,697 ",0.001234961,"$320,727",0.00011
Target 1,Scenario 3,Year 27,36.21,"$303,110 ",0.000119,"$28,750 ",0.001259327,"$331,860",0.00011
Target 1,Scenario 3,Year 28,38.28,"$313,190 ",0.000122,"$29,804 ",0.001284448,"$342,994",0.00011
Target 1,Scenario 3,Year 29,40.43,"$323,270 ",0.000125,"$30,857 ",0.001310248,"$354,127",0.00011
Target 1,Scenario 3,Year 30,42.16,"$333,349 ",0.000126,"$31,910 ",0.001321234,"$365,260",0.00012
