Targets,Scenarios,Type of investment,Investment category,BAU,Year 1,Year 2 ,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Costs for training and capacity building,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Total institutional costs,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Labor costs,Individual farmer costs,$0.00 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 
Target B1,BAU,Input costs,Individual farmer costs,$0.00 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,$0.00 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,"$47,917.73 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 "
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,$0.00 ,"$8,339.60 ","$5,837.72 ","$4,169.80 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 "
Target B1,Scenario 2,Total institutional costs,Institutional costs,$0.00 ,"$56,257.33 ","$41,622.99 ","$39,955.07 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 "
Target B1,Scenario 2,Labor costs,Individual farmer costs,$0.00 ,$467.08 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 
Target B1,Scenario 2,Input costs,Individual farmer costs,$0.00 ,$527.55 ,$453.71 ,$487.87 ,$453.71 ,$487.87 ,$453.71 ,$487.87 ,$453.71 ,$487.87 ,$453.71 
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,$0.00 ,$994.63 ,$888.12 ,$922.29 ,$888.12 ,$922.29 ,$888.12 ,$922.29 ,$888.12 ,$922.29 ,$888.12 
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,"$62,987.74 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 "
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,$0.00 ,"$13,381.23 ","$12,043.11 ","$12,043.11 ","$12,043.11 ","$12,043.11 ","$9,366.86 ","$9,366.86 ","$9,366.86 ","$9,366.86 ","$9,366.86 "
Target B1,Scenario 3,Total institutional costs,Institutional costs,$0.00 ,"$76,368.97 ","$61,874.22 ","$61,874.22 ","$61,874.22 ","$61,874.22 ","$59,197.98 ","$59,197.98 ","$59,197.98 ","$59,197.98 ","$59,197.98 "
Target B1,Scenario 3,Labor costs,Individual farmer costs,$0.00 ,$476.98 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 
Target B1,Scenario 3,Input costs,Individual farmer costs,$0.00 ,$627.66 ,$451.80 ,$451.80 ,$451.80 ,$451.80 ,$448.00 ,$448.00 ,$448.00 ,$448.00 ,$448.00 
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,$0.00 ,"$1,104.63 ",$875.70 ,$875.70 ,$875.70 ,$875.70 ,$871.89 ,$871.89 ,$871.89 ,$871.89 ,$871.89 
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,"$55,452.74 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 "
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,$0.00 ,"$10,860.42 ","$8,940.41 ","$8,106.45 ","$7,272.49 ","$7,272.49 ","$5,934.37 ","$5,934.37 ","$5,934.37 ","$5,934.37 ","$5,934.37 "
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,$0.00 ,"$66,313.15 ","$51,748.61 ","$50,914.65 ","$50,080.69 ","$50,080.69 ","$48,742.57 ","$48,742.57 ","$48,742.57 ","$48,742.57 ","$48,742.57 "
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,$0.00 ,$472.03 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,$0.00 ,$577.61 ,$452.76 ,$469.84 ,$452.76 ,$469.84 ,$450.85 ,$467.93 ,$450.85 ,$467.93 ,$450.85 
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,$0.00 ,"$1,049.63 ",$881.91 ,$898.99 ,$881.91 ,$898.99 ,$880.01 ,$897.09 ,$880.01 ,$897.09 ,$880.01 
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,$0.00 ,$46.19 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,$0.00 ,$92.89 ,$19.04 ,$53.20 ,$19.04 ,$53.20 ,$19.04 ,$53.20 ,$19.04 ,$53.20 ,$19.04 
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,$0.00 ,$139.08 ,$32.57 ,$66.73 ,$32.57 ,$66.73 ,$32.57 ,$66.73 ,$32.57 ,$66.73 ,$32.57 
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,$0.00 ,$56.09 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,$0.00 ,$192.99 ,$17.14 ,$17.14 ,$17.14 ,$17.14 ,$13.33 ,$13.33 ,$13.33 ,$13.33 ,$13.33 
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,$0.00 ,$249.08 ,$20.14 ,$20.14 ,$20.14 ,$20.14 ,$16.33 ,$16.33 ,$16.33 ,$16.33 ,$16.33 
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,$0.00 ,$51.14 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 
Target B1,Average (Scen2 & Scen3),Incremental input costs,Individual farmer costs,$0.00 ,$142.94 ,$18.09 ,$35.17 ,$18.09 ,$35.17 ,$16.18 ,$33.27 ,$16.18 ,$33.27 ,$16.18 
Target B1,Average (Scen2 & Scen3),Incremental total individual costs to farmer,Individual farmer costs,$0.00 ,$194.08 ,$26.36 ,$43.44 ,$26.36 ,$43.44 ,$24.45 ,$41.53 ,$24.45 ,$41.53 ,$24.45 
Target B1,Scenario 2,Labor costs percent increase,Individual farmer costs,$0.00 ,11,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
Target B1,Scenario 2,Input costs percent increase,Individual farmer costs,$0.00 ,21.4,4.4,12.2,4.4,12.2,4.4,12.2,4.4,12.2,4.4
Target B1,Scenario 2,Total individual costs to farmer percent increase,Individual farmer costs,$0.00 ,16.3,3.8,7.8,3.8,7.8,3.8,7.8,3.8,7.8,3.8
Target B1,Scenario 3,Labor costs percent increase,Individual farmer costs,$0.00 ,13.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Target B1,Scenario 3,Input costs percent increase,Individual farmer costs,$0.00 ,44.4,3.9,3.9,3.9,3.9,3.1,3.1,3.1,3.1,3.1
Target B1,Scenario 3,Total individual costs to farmer percent increase,Individual farmer costs,$0.00 ,29.1,2.4,2.4,2.4,2.4,1.9,1.9,1.9,1.9,1.9
Target B1,Average (Scen2 & Scen3),Labor costs percent increase,Individual farmer costs,$0.00 ,12.2,2,2,2,2,2,2,2,2,2
Target B1,Average (Scen2 & Scen3),Input costs percent increase,Individual farmer costs,$0.00 ,32.9,4.2,8.1,4.2,8.1,3.7,7.7,3.7,7.7,3.7
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer percent increase,Individual farmer costs,$0.00 ,22.7,3.1,5.1,3.1,5.1,2.9,4.9,2.9,4.9,2.9
Target B1,BAU,Gross value of annual crops of USD,Individual farmer costs,$0.00 ,"$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 "
Target B1,BAU,Gross value of perrenial crops of USD,Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Gross value of tree species USD,Individual farmer costs,$0.00 ,$1.41 ,$1.41 ,$1.41 ,$1.41 ,$1.41 ,$1.41 ,$1.41 ,$1.41 ,$1.41 ,$1.41 
Target B1,BAU,"Gross value		",Individual farmer costs,$0.00 ,"$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 ","$1,894.90 "
Target B1,Scenario 2,Gross value of annual crops of USD,Individual farmer costs,$0.00 ,"$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 "
Target B1,Scenario 2,Gross value of perrenial crops of USD,Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,Scenario 2,Gross value of tree species USD,Individual farmer costs,$0.00 ,"$1,266.08 ","$1,012.86 ","$1,266.08 ","$1,012.86 ","$1,266.08 ","$1,012.86 ","$1,266.08 ","$1,012.86 ","$1,266.08 ","$1,012.86 "
Target B1,Scenario 2,"Gross value		",Individual farmer costs,$0.00 ,"$3,159.57 ","$2,906.36 ","$3,159.57 ","$2,906.36 ","$3,159.57 ","$2,906.36 ","$3,159.57 ","$2,906.36 ","$3,159.57 ","$2,906.36 "
Target B1,Scenario 3,Gross value of annual crops of USD,Individual farmer costs,$0.00 ,"$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 "
Target B1,Scenario 3,Gross value of perrenial crops of USD,Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,Scenario 3,Gross value of tree species USD,Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,296.14 ",$518.46 ,$129.61 ,$518.46 ,$129.61 ,$518.46 
Target B1,Scenario 3,"Gross value		",Individual farmer costs,$0.00 ,"$1,893.50 ","$1,893.50 ","$1,893.50 ","$1,893.50 ","$3,189.63 ","$2,411.95 ","$2,023.11 ","$2,411.95 ","$2,023.11 ","$2,411.95 "
Target B1,BAU,Net values to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 ","$1,039.35 "
Target B1,BAU,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,039.35 ",$951.78 ,$871.60 ,$798.17 ,$730.92 ,$669.34 ,$612.95 ,$561.31 ,$514.02 ,$431.06 
Target B1,BAU,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00 ,$0.65 ,$0.59 ,$0.54 ,$0.50 ,$0.45 ,$0.42 ,$0.38 ,$0.35 ,$0.32 ,$0.27 
Target B1,BAU,Benefit cost ratio,Individual farmer costs,$0.00 ,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21
Target B1,Scenario 2,Net values to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$2,164.94 ","$2,018.23 ","$2,237.29 ","$2,018.23 ","$2,237.29 ","$2,018.23 ","$2,237.29 ","$2,018.23 ","$2,237.29 ","$2,018.23 "
Target B1,Scenario 2,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$2,164.94 ","$1,848.20 ","$1,876.19 ","$1,549.90 ","$1,573.37 ","$1,299.74 ","$1,319.43 ","$1,089.97 ","$1,106.47 ",$914.04 
Target B1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00 ,$1.34 ,$1.15 ,$1.17 ,$0.96 ,$0.98 ,$0.81 ,$0.82 ,$0.68 ,$0.69 ,$0.57 
Target B1,Scenario 2,Benefit cost ratio,Individual farmer costs,$0.00 ,3.18,3.27,3.43,3.27,3.43,3.27,3.43,3.27,3.43,3.27
Target B1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,$0.00 ,$788.86 ,"$1,017.80 ","$1,017.80 ","$1,017.80 ","$2,313.94 ","$1,540.06 ","$1,151.22 ","$1,540.06 ","$1,151.22 ","$1,540.06 "
Target B1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,$788.86 ,$932.05 ,$853.52 ,$781.62 ,"$1,627.28 ",$991.80 ,$678.93 ,$831.72 ,$569.35 ,$697.48 
Target B1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00 ,$0.49 ,$0.58 ,$0.53 ,$0.49 ,$1.01 ,$0.62 ,$0.42 ,$0.52 ,$0.35 ,$0.43 
Target B1,Scenario 3,Benefit cost ratio,Individual farmer costs,$0.00 ,1.71,2.16,2.16,2.16,3.64,2.77,2.32,2.77,2.32,2.77
Target B1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00 ,$420.89 ,$385.43 ,$352.96 ,$323.22 ,$295.99 ,$271.05 ,$248.22 ,$227.30 ,$208.15 ,$190.62 
Target B1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,894.90 ","$1,735.26 ","$1,589.07 ","$1,455.19 ","$1,332.59 ","$1,220.32 ","$1,117.51 ","$1,023.36 ",$937.14 ,$858.19 
Target B1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00 ,"$1,474.02 ","$1,349.83 ","$1,236.11 ","$1,131.97 ","$1,036.60 ",$949.27 ,$869.29 ,$796.06 ,$728.99 ,$667.57 
Target B1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00 ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Target B1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00 ,$467.08 ,$397.82 ,$364.30 ,$333.61 ,$305.50 ,$279.76 ,$256.19 ,$234.61 ,$214.85 ,$196.74 
Target B1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,159.57 ","$2,661.50 ","$2,649.62 ","$2,231.93 ","$2,221.97 ","$1,871.70 ","$1,863.34 ","$1,569.61 ","$1,562.60 ","$1,316.27 "
Target B1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00 ,"$2,692.49 ","$2,263.68 ","$2,285.31 ","$1,898.32 ","$1,916.46 ","$1,591.93 ","$1,607.15 ","$1,334.99 ","$1,347.75 ","$1,119.53 "
Target B1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00 ,6.76,6.69,7.27,6.69,7.27,6.69,7.27,6.69,7.27,6.69
Target B1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00 ,$476.98 ,$388.18 ,$355.48 ,$325.53 ,$298.10 ,$272.99 ,$249.99 ,$228.93 ,$209.64 ,$191.98 
Target B1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,893.50 ","$1,733.97 ","$1,587.88 ","$1,454.11 ","$2,243.11 ","$1,553.30 ","$1,193.12 ","$1,302.60 ","$1,000.55 ","$1,092.36 "
Target B1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00 ,"$1,416.52 ","$1,345.79 ","$1,232.41 ","$1,128.58 ","$1,945.01 ","$1,280.31 ",$943.13 ,"$1,073.67 ",$790.91 ,$900.38 
Target B1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00 ,3.97,4.47,4.47,4.47,7.52,5.69,4.77,5.69,4.77,5.69
Target G3,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target G3,BAU,Costs for training and capacity building,Institutional costs,$0.00 ,$0.00 ,$500.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
